CRICOS Provider Code,Institution Name,Course Name,Field of Education 1 Broad Field,Field of Education 1 Narrow Field,Duration (Weeks),Estimated Total Course Cost
00001K,Canberra Institute of Technology,ACT Year 12 Certificate,12 - Mixed Field Programmes,1201 - General Education Programmes,44,13450.0
00001K,Canberra Institute of Technology,Diploma of Community Services,09 - Society and Culture,0905 - Human Welfare Studies and Services,52,15835.0
00001K,Canberra Institute of Technology,Certificate IV in Mental Health,09 - Society and Culture,0905 - Human Welfare Studies and Services,52,17155.0
00001K,Canberra Institute of Technology,Certificate III in Hairdressing,"11 - Food, Hospitality and Personal Services",1103 - Personal Services,78,26125.0
00001K,Canberra Institute of Technology,Certificate III in Barbering,"11 - Food, Hospitality and Personal Services",1103 - Personal Services,52,18500.0
00001K,Canberra Institute of Technology,English for Study and Life (Elementary),09 - Society and Culture,0915 - Language and Literature,15,3675.0
00001K,Canberra Institute of Technology,English for Study and Life (Pre-Intermediate),09 - Society and Culture,0915 - Language and Literature,15,3675.0
00001K,Canberra Institute of Technology,English for Study and Life (Intermediate),09 - Society and Culture,0915 - Language and Literature,15,3675.0
00001K,Canberra Institute of Technology,English for Study and Life (Upper-Intermediate),09 - Society and Culture,0915 - Language and Literature,15,3675.0
00001K,Canberra Institute of Technology,English for Study and Life (Advanced),09 - Society and Culture,0915 - Language and Literature,15,3675.0
00001K,Canberra Institute of Technology,English for Study and Life (Academic),09 - Society and Culture,0915 - Language and Literature,15,3675.0
00001K,Canberra Institute of Technology,English for Study and Life (Preparation for IELTS 7),09 - Society and Culture,0915 - Language and Literature,15,3800.0
00001K,Canberra Institute of Technology,Preparation for the Pearson Test of English Academic,09 - Society and Culture,0915 - Language and Literature,13,4200.0
00001K,Canberra Institute of Technology,Certificate IV in Leadership and Management,08 - Management and Commerce,0803 - Business and Management,26,8340.0
00001K,Canberra Institute of Technology,Diploma of Leadership and Management,08 - Management and Commerce,0803 - Business and Management,26,8340.0
00001K,Canberra Institute of Technology,Certificate IV in Building and Construction,04 - Architecture and Building,0403 - Building,78,25470.0
00001K,Canberra Institute of Technology,Diploma of Building and Construction (Building),04 - Architecture and Building,0403 - Building,104,34090.0
00001K,Canberra Institute of Technology,Diploma of Graphic Design,10 - Creative Arts,1005 - Graphic and Design Studies,78,28770.0
00001K,Canberra Institute of Technology,Certificate III in Information Technology,02 - Information Technology,0203 - Information Systems,26,8300.0
