CRICOS Provider Code,Institution Name,Institution Type,Website
00001K,Canberra Institute of Technology,Government,https://international.cit.edu.au/
00002J,Macquarie University (Macquarie),Government,www.mq.edu.au
00003G,University of New England,Government,www.une.edu.au
00004G,Australian Catholic University Limited,Government,www.acu.edu.au
00005F,Charles Sturt University (CSU),Government,www.csu.edu.au
00008C,Monash University (Monash),Government,www.monash.edu.au
00011G,Gordon Institute of TAFE,Government,http://www.gordontafe.edu.au/
00012G,Holmesglen Institute,Government,www.holmesglen.edu.au
00017B,Bond University,Private,http://www.bond.edu.au/
00018A,Department for Education,Government,http://www.internationalstudents.sa.edu.au
00020G,Department of Training and Workforce Development,Government,http://www.tafeinternational.wa.edu.au/
00025B,The University of Queensland,Government,www.uq.edu.au
00026A,The University of Sydney,Government,http://sydney.edu.au
00040C,Holmes Colleges Sydney Pty Ltd,Private,www.holmes.edu.au
00051M,ELC Career College Pty Ltd,Private,www.elc.edu.au
00053J,Universal Education Centre Pty Ltd,Private,www.uec.edu.au
00057E,Alexander Language School Pty Ltd,Private,www.sgis.wa.edu.au
00061J,Milner International College of English (WA) Pty Ltd,Private,www.milner.wa.edu.au
00066D,Keyseq Pty Ltd,Private,www.phoenix.wa.edu.au
00067C,Holmes Commercial Colleges (Melbourne) Ltd,Private,www.holmesinstitute.edu.au
00080F,You Study Pty Ltd,Private,www.youstudy.edu.au
00092B,TAFE SA,Government,http://www.tafesa.edu.au/international
00094M,South Australian College of English Pty Ltd,Private,http://www.sacecoll.sa.edu.au
00098G,The University of New South Wales (UNSW),Government,www.unsw.edu.au
00099F,University of Technology Sydney (UTS),Government,www.uts.edu.au
00102E,University of Wollongong (UoW),Government,www.uow.edu.au
00103D,Federation University Australia,Government,www.federation.edu.au
00109J,The University of Newcastle (UoN),Government,www.newcastle.edu.au
00111D,Swinburne University of Technology,Government,https://www.swinburne.edu.au/international
00113B,Deakin University (Deakin),Government,http://www.deakin.edu.au/
00114A,Flinders University,Government,http://www.flinders.edu.au/
00115M,La Trobe University (La Trobe),Government,http://www.latrobe.edu.au/international
00116K,The University of Melbourne (UniMelb),Government,http://www.unimelb.edu.au/
00117J,James Cook University,Government,www.jcu.edu.au
00120C,Australian National University,Government,http://www.anu.edu.au/
00121B,University of South Australia (UniSA),Government,www.unisa.edu.au
00122A,Royal Melbourne Institute of Technology,Government,www.rmit.edu.au
00123M,The University of Adelaide (Adelaide),Government,http://www.adelaide.edu.au
00124K,Victoria University,Government,http://www.vu.edu.au/
00125J,Murdoch University (Murdoch),Government,www.murdoch.edu.au
00126G,The University of Western Australia (UWA),Government,http://www.uwa.edu.au/
00129E,Ballarat and Queen's Anglican Grammar School,Private,www.bgs.vic.edu.au
00131M,Billanook College Limited,Private,www.billanook.vic.edu.au
00132K,Brighton Grammar School,Private,http://www.brightongrammar.vic.edu.au/
00134G,The Camberwell Grammar School,Private,http://www.cgs.vic.edu.au/
00135G,Carey Baptist Grammar School Limited,Private,www.carey.com.au
00136F,Caulfield Grammar School,Private,http://www.caulfieldgs.vic.edu.au/
00138D,Eltham College,Private,http://www.elthamcollege.vic.edu.au/
00139C,Fintona Girls School,Private,http://www.fintona.vic.edu.au/
00140K,Firbank Grammar School,Private,www.firbank.vic.edu.au
00141J,Camberwell Anglican Girls' Grammar School,Private,www.cggs.vic.edu.au
00142G,The Geelong College,Private,http://www.geelongcollege.vic.edu.au/
00143G,Geelong Grammar School,Private,www.ggs.vic.edu.au
00144F,The Hamilton and Alexandra College,Private,http://www.hamiltoncollege.vic.edu.au/
00145E,Huntingtower School Association,Private,http://www.huntingtower.vic.edu.au/
00147C,The Ivanhoe Grammar School,Private,http://www.ivanhoe.com.au
00149A,Kilvington Grammar School Limited,Private,http://www.kilvington.vic.edu.au/
00150G,Kingswood College Limited,Private,www.kingswoodcollege.vic.edu.au
00151G,The Knox School Limited,Private,http://www.knox.vic.edu.au/
00152F,Lauriston Girls' School,Private,http://lauriston.vic.edu.au/
00159K,Waterfall Investments Pty Ltd,Private,www.cambridgecollegeinternational.nsw.edu.au
00161E,Kent Institute Australia Pty Ltd,Private,www.kent.edu.au
00172B,Mercury Colleges Pty. Limited,Private,www.mercurycolleges.nsw.edu.au
00181A,Lan-Grove Office Training Centre Pty Ltd,Private,www.sbta.com.au
00197D,Acknowledge Education Pty Ltd,Private,
00202A,Cairns Business College Limited,Private,www.cbcaustralia.com
00212K,University of Canberra,Government,https://www.canberra.edu.au
00213J,Queensland University of Technology (QUT),Government,www.qut.edu.au
00219C,Central Queensland University,Government,www.cqu.edu.au
00231G,Australian College of Natural Medicine Pty Ltd,Private,www.endeavour.edu.au
00233E,Griffith University,Government,www.griffith.edu.au
00244B,University of Southern Queensland,Government,http://www.usq.edu.au/study/international
00246M,Think: Colleges Pty Ltd,Private,www.think.edu.au
00253A,The Australian Ballet School,Private,http://www.australianballetschool.com.au/
00257G,Photography Holdings Pty Ltd,Private,http://www.psc.edu.au
00277D,Royal Victorian Aero Club,Private,www.rvac.com.au
00279B,Edith Cowan University,Government,www.ecu.edu.au
00289M,Navitas English Services Pty Ltd,Private,www.navitasenglish.edu.au
00296A,Airways Aviation Education Pty Ltd,Private,www.airwaysaviation.com
00300K,Charles Darwin University (CDU),Government,www.cdu.edu.au
00301J,Curtin University,Government,www.curtin.edu.au
00306D,Marcus Oldham College,Private,http://www.marcusoldham.vic.edu.au/
00312F,SAE Institute Pty Ltd,Private,www.sae.edu.au
00322D,Melbourne Girls Grammar - An Anglican School,Private,www.mggs.vic.edu.au
00324B,Mentone Girls Grammar School,Private,www.mentonegirls.vic.edu.au
00325A,Methodist Ladies' College Limited,Private,www.mlc.vic.edu.au
00331C,Life Ministry Centre Limited,Private,www.oxley.vic.edu.au
00333A,The Peninsula School,Private,www.tps.vic.edu.au
00334M,Presbyterian Ladies' College,Private,www.plc.vic.edu.au
00340B,Gippsland Grammar,Private,www.gippslandgs.vic.edu.au
00341A,King's Christian Education Ltd.,Private,www.kingscollege.qld.edu.au
00343K,St Leonard's College,Private,www.stleonards.vic.edu.au
00344J,St Margaret's School,Private,www.stmargarets.vic.edu.au
00345G,St Michael's Grammar School,Private,www.stmichaels.vic.edu.au
00348E,Tintern Grammar,Private,www.tintern.vic.edu.au
00349D,Toorak College,Private,www.toorakcollege.vic.edu.au
00350M,Trinity Grammar School Kew,Private,www.trinity.vic.edu.au
00354G,Wesley College Melbourne,Private,www.wesleycollege.edu.au/
00355F,Westbourne Grammar School,Private,www.westbournegrammar.com
00356E,Yarra Valley Grammar School,Private,www.yvg.vic.edu.au
00360J,Concordia College Inc,Private,www.concordia.sa.edu.au
00362G,Immanuel College,Private,www.immanuel.sa.edu.au
00365D,Mercedes College Springfield,Private,www.mercedes.catholic.edu.au
00366C,Muirden Senior Secondary College,Private,www.muirden.sa.edu.au
00367B,Pembroke School Inc,Private,www.pembroke.sa.edu.au
00368A,Prince Alfred College Inc,Private,https://pac.edu.au/
00369M,Pulteney Grammar School,Private,
00371F,St Aloysius College,Private,www.sac.sa.edu.au
00373D,St Peter's Collegiate Girls' School,Private,www.stpetersgirls.sa.edu.au
00374C,Trinity College - North,Private,
